question_id,question,category,topics,topic
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking", Goal-setting
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking", Prioritization
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking", Time-management
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking", Strategic thinking
127,Discuss your resume.,General,"Communication skills, self-awareness, critical thinking, narrative skills",Communication skills
127,Discuss your resume.,General,"Communication skills, self-awareness, critical thinking, narrative skills", self-awareness
127,Discuss your resume.,General,"Communication skills, self-awareness, critical thinking, narrative skills", critical thinking
127,Discuss your resume.,General,"Communication skills, self-awareness, critical thinking, narrative skills", narrative skills
128,Discuss your educational background.,General,"Communication skills, Self-reflection, Organization skills",Communication skills
128,Discuss your educational background.,General,"Communication skills, Self-reflection, Organization skills", Self-reflection
128,Discuss your educational background.,General,"Communication skills, Self-reflection, Organization skills", Organization skills
129,Describe yourself.,General,"Self-awareness, communication, articulation, self-reflection",Self-awareness
129,Describe yourself.,General,"Self-awareness, communication, articulation, self-reflection", communication
129,Describe yourself.,General,"Self-awareness, communication, articulation, self-reflection", articulation
129,Describe yourself.,General,"Self-awareness, communication, articulation, self-reflection", self-reflection
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness",Problem-solving
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness", communication
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness", critical thinking
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness", storytelling
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness", self-awareness
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills",Communication skills
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills", Persuasion skills
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills", Self-awareness
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills", Self-promotion
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills", Problem-solving skills
132,Why are you looking for a new job?,General,"Communication skills, Self-awareness,  Problem-solving skills,  Critical thinking",Communication skills
132,Why are you looking for a new job?,General,"Communication skills, Self-awareness,  Problem-solving skills,  Critical thinking", Self-awareness
132,Why are you looking for a new job?,General,"Communication skills, Self-awareness,  Problem-solving skills,  Critical thinking",  Problem-solving skills
132,Why are you looking for a new job?,General,"Communication skills, Self-awareness,  Problem-solving skills,  Critical thinking",  Critical thinking
133,Would you work holidays/weekends?,General,"Flexibility,Availability,Commitment",Flexibility
133,Would you work holidays/weekends?,General,"Flexibility,Availability,Commitment",Availability
133,Would you work holidays/weekends?,General,"Flexibility,Availability,Commitment",Commitment
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving",Conflict resolution
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving", customer service
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving", communication
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving", empathy
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving", problem-solving
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,"Research skills, Negotiation skills, Self-awareness, Financial literacy",Research skills
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,"Research skills, Negotiation skills, Self-awareness, Financial literacy", Negotiation skills
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,"Research skills, Negotiation skills, Self-awareness, Financial literacy", Self-awareness
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,"Research skills, Negotiation skills, Self-awareness, Financial literacy", Financial literacy
136,Give a time when you went above and beyond the requirements for a project.,General,"Problem-solving, Storytelling, Self-awareness,  Communication",Problem-solving
136,Give a time when you went above and beyond the requirements for a project.,General,"Problem-solving, Storytelling, Self-awareness,  Communication", Storytelling
136,Give a time when you went above and beyond the requirements for a project.,General,"Problem-solving, Storytelling, Self-awareness,  Communication", Self-awareness
136,Give a time when you went above and beyond the requirements for a project.,General,"Problem-solving, Storytelling, Self-awareness,  Communication",  Communication
137,Who are our competitors?,General,"Market analysis, competitive analysis, industry knowledge",Market analysis
137,Who are our competitors?,General,"Market analysis, competitive analysis, industry knowledge", competitive analysis
137,Who are our competitors?,General,"Market analysis, competitive analysis, industry knowledge", industry knowledge
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving",Self-awareness
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving", self-reflection
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving", communication
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving", storytelling
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving", problem-solving
139,What motivates you?,General,"Self-awareness, communication, introspection",Self-awareness
139,What motivates you?,General,"Self-awareness, communication, introspection", communication
139,What motivates you?,General,"Self-awareness, communication, introspection", introspection
140,What’s your availability?,General,"Communication skills, Interpersonal skills",Communication skills
140,What’s your availability?,General,"Communication skills, Interpersonal skills", Interpersonal skills
141,Who’s your mentor?,General,"Communication skills, Interpersonal skills, Self-awareness",Communication skills
141,Who’s your mentor?,General,"Communication skills, Interpersonal skills, Self-awareness", Interpersonal skills
141,Who’s your mentor?,General,"Communication skills, Interpersonal skills, Self-awareness", Self-awareness
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling",Conflict resolution
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling", communication
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling", diplomacy
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling", critical thinking
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling", self-awareness
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling", storytelling
143,How do you handle pressure?,General,"Stress management, self-awareness, communication skills, problem-solving skills",Stress management
143,How do you handle pressure?,General,"Stress management, self-awareness, communication skills, problem-solving skills", self-awareness
143,How do you handle pressure?,General,"Stress management, self-awareness, communication skills, problem-solving skills", communication skills
143,How do you handle pressure?,General,"Stress management, self-awareness, communication skills, problem-solving skills", problem-solving skills
144,What is the name of our CEO?,General,Memory recall,Memory recall
145,What are your career goals?,General,"Communication skills, Self-awareness, Goal setting, Planning skills",Communication skills
145,What are your career goals?,General,"Communication skills, Self-awareness, Goal setting, Planning skills", Self-awareness
145,What are your career goals?,General,"Communication skills, Self-awareness, Goal setting, Planning skills", Goal setting
145,What are your career goals?,General,"Communication skills, Self-awareness, Goal setting, Planning skills", Planning skills
146,What gets you up in the morning?,General,"Communication skills, Self-awareness, Motivation, Goal-setting",Communication skills
146,What gets you up in the morning?,General,"Communication skills, Self-awareness, Motivation, Goal-setting", Self-awareness
146,What gets you up in the morning?,General,"Communication skills, Self-awareness, Motivation, Goal-setting", Motivation
146,What gets you up in the morning?,General,"Communication skills, Self-awareness, Motivation, Goal-setting", Goal-setting
147,What would your direct reports say about you?,General,"Self-awareness, self-reflection, empathy, perspective-taking",Self-awareness
147,What would your direct reports say about you?,General,"Self-awareness, self-reflection, empathy, perspective-taking", self-reflection
147,What would your direct reports say about you?,General,"Self-awareness, self-reflection, empathy, perspective-taking", empathy
147,What would your direct reports say about you?,General,"Self-awareness, self-reflection, empathy, perspective-taking", perspective-taking
148,What were your bosses’ strengths/weaknesses?,General,"Critical thinking, communication, observation, self-awareness",Critical thinking
148,What were your bosses’ strengths/weaknesses?,General,"Critical thinking, communication, observation, self-awareness", communication
148,What were your bosses’ strengths/weaknesses?,General,"Critical thinking, communication, observation, self-awareness", observation
148,What were your bosses’ strengths/weaknesses?,General,"Critical thinking, communication, observation, self-awareness", self-awareness
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills",Self-awareness
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills", self-assessment
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills", honesty
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills", critical thinking
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills",  communication skills
150,Are you a leader or a follower?,General,"Self-awareness, self-assessment, introspection",Self-awareness
150,Are you a leader or a follower?,General,"Self-awareness, self-assessment, introspection", self-assessment
150,Are you a leader or a follower?,General,"Self-awareness, self-assessment, introspection", introspection
151,What was the last book you read for fun?,General,Memory recall,Memory recall
152,What are your co-worker pet peeves?,General,"Self-awareness, interpersonal skills, conflict resolution skills",Self-awareness
152,What are your co-worker pet peeves?,General,"Self-awareness, interpersonal skills, conflict resolution skills", interpersonal skills
152,What are your co-worker pet peeves?,General,"Self-awareness, interpersonal skills, conflict resolution skills", conflict resolution skills
153,What are your hobbies?,General,"Communication skills, Self-awareness, Interpersonal skills",Communication skills
153,What are your hobbies?,General,"Communication skills, Self-awareness, Interpersonal skills", Self-awareness
153,What are your hobbies?,General,"Communication skills, Self-awareness, Interpersonal skills", Interpersonal skills
154,What is your favorite website?,General,"Personal preference,Opinion expression",Personal preference
154,What is your favorite website?,General,"Personal preference,Opinion expression",Opinion expression
155,What makes you uncomfortable?,General,"Self-awareness, honesty, vulnerability, communication",Self-awareness
155,What makes you uncomfortable?,General,"Self-awareness, honesty, vulnerability, communication", honesty
155,What makes you uncomfortable?,General,"Self-awareness, honesty, vulnerability, communication", vulnerability
155,What makes you uncomfortable?,General,"Self-awareness, honesty, vulnerability, communication", communication
156,What are some of your leadership experiences / What is your leadership style?,General,"Leadership experience,Leadership style,Communication skills,Self-reflection",Leadership experience
156,What are some of your leadership experiences / What is your leadership style?,General,"Leadership experience,Leadership style,Communication skills,Self-reflection",Leadership style
156,What are some of your leadership experiences / What is your leadership style?,General,"Leadership experience,Leadership style,Communication skills,Self-reflection",Communication skills
156,What are some of your leadership experiences / What is your leadership style?,General,"Leadership experience,Leadership style,Communication skills,Self-reflection",Self-reflection
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness",Communication skills
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness", interpersonal skills
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness", conflict resolution skills
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness", empathy
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness", decision-making skills
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness", legal awareness
158,What do you like the most and least about working in this industry?,General,"Self-awareness, critical thinking, communication skills, reflection",Self-awareness
158,What do you like the most and least about working in this industry?,General,"Self-awareness, critical thinking, communication skills, reflection", critical thinking
158,What do you like the most and least about working in this industry?,General,"Self-awareness, critical thinking, communication skills, reflection", communication skills
158,What do you like the most and least about working in this industry?,General,"Self-awareness, critical thinking, communication skills, reflection", reflection
159,Would you work 40+ hours a week?,General,"Communication skills, Honesty, Work ethic",Communication skills
159,Would you work 40+ hours a week?,General,"Communication skills, Honesty, Work ethic", Honesty
159,Would you work 40+ hours a week?,General,"Communication skills, Honesty, Work ethic", Work ethic
160,What questions haven’t I asked you?,General,"Metacognition, self-reflection, critical thinking",Metacognition
160,What questions haven’t I asked you?,General,"Metacognition, self-reflection, critical thinking", self-reflection
160,What questions haven’t I asked you?,General,"Metacognition, self-reflection, critical thinking", critical thinking
161,What questions do you have for me?,General,"Communication skills, Inquiry skills, Critical thinking skills",Communication skills
161,What questions do you have for me?,General,"Communication skills, Inquiry skills, Critical thinking skills", Inquiry skills
161,What questions do you have for me?,General,"Communication skills, Inquiry skills, Critical thinking skills", Critical thinking skills
1, What is padding,Data Science,"Understanding of terminology, basic computer science concepts",Understanding of terminology
1, What is padding,Data Science,"Understanding of terminology, basic computer science concepts", basic computer science concepts
2, Sigmoid Vs Softmax,Data Science,"Understanding of activation functions,machine learning,deep learning,classification",Understanding of activation functions
2, Sigmoid Vs Softmax,Data Science,"Understanding of activation functions,machine learning,deep learning,classification",machine learning
2, Sigmoid Vs Softmax,Data Science,"Understanding of activation functions,machine learning,deep learning,classification",deep learning
2, Sigmoid Vs Softmax,Data Science,"Understanding of activation functions,machine learning,deep learning,classification",classification
3, What is PoS Tagging,Data Science,"Vocabulary,Knowledge Recall",Vocabulary
3, What is PoS Tagging,Data Science,"Vocabulary,Knowledge Recall",Knowledge Recall
4, What is tokenization,Data Science,Understanding of NLP concepts,Understanding of NLP concepts
5, What is topic modeling,Data Science,"Information retrieval, Knowledge comprehension",Information retrieval
5, What is topic modeling,Data Science,"Information retrieval, Knowledge comprehension", Knowledge comprehension
6, What is back propagation,Data Science,"Understanding of neural networks,Knowledge of deep learning algorithms",Understanding of neural networks
6, What is back propagation,Data Science,"Understanding of neural networks,Knowledge of deep learning algorithms",Knowledge of deep learning algorithms
7, What is the idea behind GANs,Data Science,"Knowledge recall, comprehension",Knowledge recall
7, What is the idea behind GANs,Data Science,"Knowledge recall, comprehension", comprehension
8, What is the Computational Graph,Data Science,"Understanding of machine learning concepts,Knowledge of deep learning fundamentals",Understanding of machine learning concepts
8, What is the Computational Graph,Data Science,"Understanding of machine learning concepts,Knowledge of deep learning fundamentals",Knowledge of deep learning fundamentals
9, What is sigmoid What does it do,Data Science,"Knowledge of definitions, Understanding of functions",Knowledge of definitions
9, What is sigmoid What does it do,Data Science,"Knowledge of definitions, Understanding of functions", Understanding of functions
10, What is Named-Entity Recognition,Data Science,"Knowledge of NLP terminology,Information retrieval",Knowledge of NLP terminology
10, What is Named-Entity Recognition,Data Science,"Knowledge of NLP terminology,Information retrieval",Information retrieval
11, Explain the masked language model,Data Science,"Explanation ability, Summarization, Knowledge of NLP concepts",Explanation ability
11, Explain the masked language model,Data Science,"Explanation ability, Summarization, Knowledge of NLP concepts", Summarization
11, Explain the masked language model,Data Science,"Explanation ability, Summarization, Knowledge of NLP concepts", Knowledge of NLP concepts
12, How do you preprocess text in NLP,Data Science,"Natural Language Processing (NLP) knowledge, Text preprocessing techniques",Natural Language Processing (NLP) knowledge
12, How do you preprocess text in NLP,Data Science,"Natural Language Processing (NLP) knowledge, Text preprocessing techniques", Text preprocessing techniques
13, How do you extract features in NLP,Data Science,"Natural Language Processing (NLP),Feature Extraction",Natural Language Processing (NLP)
13, How do you extract features in NLP,Data Science,"Natural Language Processing (NLP),Feature Extraction",Feature Extraction
14, How is wordvec different from Glove,Data Science,"Knowledge of word embeddings, comparative analysis, understanding of NLP models",Knowledge of word embeddings
14, How is wordvec different from Glove,Data Science,"Knowledge of word embeddings, comparative analysis, understanding of NLP models", comparative analysis
14, How is wordvec different from Glove,Data Science,"Knowledge of word embeddings, comparative analysis, understanding of NLP models", understanding of NLP models
15, What Are the Different Layers on CNN,Data Science,"Knowledge of Convolutional Neural Networks,Understanding of CNN architecture",Knowledge of Convolutional Neural Networks
15, What Are the Different Layers on CNN,Data Science,"Knowledge of Convolutional Neural Networks,Understanding of CNN architecture",Understanding of CNN architecture
16, What makes CNNs translation invariant,Data Science,"Understanding of Convolutional Neural Networks, Knowledge of CNN architectures, Understanding of translation invariance",Understanding of Convolutional Neural Networks
16, What makes CNNs translation invariant,Data Science,"Understanding of Convolutional Neural Networks, Knowledge of CNN architectures, Understanding of translation invariance", Knowledge of CNN architectures
16, What makes CNNs translation invariant,Data Science,"Understanding of Convolutional Neural Networks, Knowledge of CNN architectures, Understanding of translation invariance", Understanding of translation invariance
17, How is fastText different from wordvec,Data Science,"Knowledge of word embeddings, understanding of NLP models",Knowledge of word embeddings
17, How is fastText different from wordvec,Data Science,"Knowledge of word embeddings, understanding of NLP models", understanding of NLP models
18, Explain Generative Adversarial Network,Data Science,"Knowledge of GANs,  Explanation skills,  Understanding of complex concepts",Knowledge of GANs
18, Explain Generative Adversarial Network,Data Science,"Knowledge of GANs,  Explanation skills,  Understanding of complex concepts",  Explanation skills
18, Explain Generative Adversarial Network,Data Science,"Knowledge of GANs,  Explanation skills,  Understanding of complex concepts",  Understanding of complex concepts
19, What is backward and forward propagation,Data Science,"Understanding of neural networks,Knowledge of backpropagation algorithm,Knowledge of forward propagation",Understanding of neural networks
19, What is backward and forward propagation,Data Science,"Understanding of neural networks,Knowledge of backpropagation algorithm,Knowledge of forward propagation",Knowledge of backpropagation algorithm
19, What is backward and forward propagation,Data Science,"Understanding of neural networks,Knowledge of backpropagation algorithm,Knowledge of forward propagation",Knowledge of forward propagation
20, What are Syntactic and Semantic Analysis,Data Science,"Knowledge of programming language concepts,Understanding of compiler design",Knowledge of programming language concepts
20, What are Syntactic and Semantic Analysis,Data Science,"Knowledge of programming language concepts,Understanding of compiler design",Understanding of compiler design
21, What is a local optimumWhat is a local optimum,Data Science,"Understanding of optimization concepts,Knowledge of local vs. global optima",Understanding of optimization concepts
21, What is a local optimumWhat is a local optimum,Data Science,"Understanding of optimization concepts,Knowledge of local vs. global optima",Knowledge of local vs. global optima
22, Explain gates used in LSTM with their functions,Data Science,"Understanding of LSTM architecture, knowledge of gate mechanisms, explanation skills",Understanding of LSTM architecture
22, Explain gates used in LSTM with their functions,Data Science,"Understanding of LSTM architecture, knowledge of gate mechanisms, explanation skills", knowledge of gate mechanisms
22, Explain gates used in LSTM with their functions,Data Science,"Understanding of LSTM architecture, knowledge of gate mechanisms, explanation skills", explanation skills
23, What is ReLU How is it better than sigmoid or tanh,Data Science,"Knowledge of neural networks, understanding of activation functions, comparative analysis",Knowledge of neural networks
23, What is ReLU How is it better than sigmoid or tanh,Data Science,"Knowledge of neural networks, understanding of activation functions, comparative analysis", understanding of activation functions
23, What is ReLU How is it better than sigmoid or tanh,Data Science,"Knowledge of neural networks, understanding of activation functions, comparative analysis", comparative analysis
24, What is transfer learning have you used it before,Data Science,"Experience,Knowledge application",Experience
24, What is transfer learning have you used it before,Data Science,"Experience,Knowledge application",Knowledge application
25, What is multi-task learning When should it be used,Data Science,"Knowledge comprehension, application",Knowledge comprehension
25, What is multi-task learning When should it be used,Data Science,"Knowledge comprehension, application", application
26, Difference between convex and non-convex cost function,Data Science,"Understanding of optimization concepts,Knowledge of cost functions,Ability to compare and contrast",Understanding of optimization concepts
26, Difference between convex and non-convex cost function,Data Science,"Understanding of optimization concepts,Knowledge of cost functions,Ability to compare and contrast",Knowledge of cost functions
26, Difference between convex and non-convex cost function,Data Science,"Understanding of optimization concepts,Knowledge of cost functions,Ability to compare and contrast",Ability to compare and contrast
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking",Information retrieval
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking", natural language processing
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking", text processing
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking", understanding of NLP techniques
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking", critical thinking
28, Explain the difference between an epoch a batch and an iteration,Data Science,"Understanding of machine learning terminology, comprehension, explanation skills",Understanding of machine learning terminology
28, Explain the difference between an epoch a batch and an iteration,Data Science,"Understanding of machine learning terminology, comprehension, explanation skills", comprehension
28, Explain the difference between an epoch a batch and an iteration,Data Science,"Understanding of machine learning terminology, comprehension, explanation skills", explanation skills
29, What is the difference between NLP and NLU,Data Science,"Knowledge of NLP, Knowledge of NLU, Comparative analysis",Knowledge of NLP
29, What is the difference between NLP and NLU,Data Science,"Knowledge of NLP, Knowledge of NLU, Comparative analysis", Knowledge of NLU
29, What is the difference between NLP and NLU,Data Science,"Knowledge of NLP, Knowledge of NLU, Comparative analysis", Comparative analysis
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,"Machine learning algorithm selection, understanding of optimization algorithms, comparative analysis, justification/reasoning",Machine learning algorithm selection
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,"Machine learning algorithm selection, understanding of optimization algorithms, comparative analysis, justification/reasoning", understanding of optimization algorithms
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,"Machine learning algorithm selection, understanding of optimization algorithms, comparative analysis, justification/reasoning", comparative analysis
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,"Machine learning algorithm selection, understanding of optimization algorithms, comparative analysis, justification/reasoning", justification/reasoning
31, What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,Data Science,"Knowledge of neural networks, understanding of MLP architecture",Knowledge of neural networks
