question_id,question,category,topics
75, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Data Science,Data Science
76," difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",Data Science,Data Science
77, Why Tanh activation function preferred over sigmoid,Data Science,Data Science
78, What are word embeddings Why are they useful,Data Science,Data Science
79, what is WordVec,Data Science,Data Science
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,Data Science
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,Data Science
82, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Data Science,Data Science
83, What is bag of words How we can use it for text vectorization,Data Science,Data Science
84, What are the advantages and disadvantages of bag of words,Data Science,Data Science
85, What is the main difference between Adam and SGD,Data Science,Data Science
86, What are the advantages and disadvantages of SGD over gradient descent,Data Science,Data Science
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,Data Science
88, When would you use GD over SDG and vice-versa,Data Science,Data Science
89, How would you choose the number of filters and the filter size at each CNN layer,Data Science,Data Science
90, How can we use CNN for text classification,Data Science,Data Science
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,Data Science
92, Describe two ways to visualize features of a CNN in an image classification task,Data Science,Data Science
93, Why do segmentation CNNs typically have an encoder-decoder style / structure,Data Science,Data Science
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,Data Science
95, What are the advantages of parameter sharing in case of convolution,Data Science,Data Science
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,Data Science
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,Data Science
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,Data Science
99, How does BatchNormalization differ in training and inferencing,Data Science,Data Science
100, How does batch size affect training of neural networks,Data Science,Data Science
101," When using mini batch gradient descent, why is it important to shuffle the data",Data Science,Data Science
102, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Data Science,Data Science
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,Data Science
104, How would you initialize weights in a neural network,Data Science,Data Science
105, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Data Science,Data Science
106, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Data Science,Data Science
107, What is backpropagation How does it work Why do we need it,Data Science,Data Science
108, Why large filter sizes in early layers can be a bad choice How to choose filter size,Data Science,Data Science
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,Data Science
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,Data Science
111, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Data Science,Data Science
112,What are your strengths?,General,Soft Skills
113,What are your weaknesses?,General,Soft Skills
114,Why are you interested in working for [insert company name here]?,General,Soft Skills
115,Where do you see yourself in five years? Ten years?,General,Soft Skills
116,Why do you want to leave your current company?,General,Soft Skills
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,Soft Skills
118,What can you offer us that someone else can not?,General,Soft Skills
119,What are three things your former manager would like you to improve on?,General,Soft Skills
120,Are you willing to relocate?,General,Soft Skills
121,Are you willing to travel? *(Post COVID-19),General,Soft Skills
122,Tell me about an accomplishment you are most proud of.,General,Soft Skills
123,Tell me about a time you made a mistake.,General,Soft Skills
124,What is your dream job?,General,Soft Skills
125,How did you hear about this position?,General,Soft Skills
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,Soft Skills
127,Discuss your resume.,General,Soft Skills
128,Discuss your educational background.,General,Soft Skills
129,Describe yourself.,General,Soft Skills
130,Tell me how you handled a difficult situation.,General,Soft Skills
131,Why should we hire you?,General,Soft Skills
132,Why are you looking for a new job?,General,Soft Skills
133,Would you work holidays/weekends?,General,Soft Skills
134,How would you deal with an angry or irate customer?,General,Soft Skills
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,Soft Skills
136,Give a time when you went above and beyond the requirements for a project.,General,Soft Skills
137,Who are our competitors?,General,Soft Skills
138,What was your biggest failure?,General,Soft Skills
139,What motivates you?,General,Soft Skills
140,What’s your availability?,General,Soft Skills
141,Who’s your mentor?,General,Soft Skills
142,Tell me about a time when you disagreed with your boss.,General,Soft Skills
143,How do you handle pressure?,General,Soft Skills
144,What is the name of our CEO?,General,Soft Skills
145,What are your career goals?,General,Soft Skills
146,What gets you up in the morning?,General,Soft Skills
147,What would your direct reports say about you?,General,Soft Skills
148,What were your bosses’ strengths/weaknesses?,General,Soft Skills
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,Soft Skills
150,Are you a leader or a follower?,General,Soft Skills
151,What was the last book you read for fun?,General,Soft Skills
152,What are your co-worker pet peeves?,General,Soft Skills
153,What are your hobbies?,General,Soft Skills
154,What is your favorite website?,General,Soft Skills
155,What makes you uncomfortable?,General,Soft Skills
156,What are some of your leadership experiences / What is your leadership style?,General,Soft Skills
157,How would you fire someone?,General,Soft Skills
158,What do you like the most and least about working in this industry?,General,Soft Skills
159,Would you work 40+ hours a week?,General,Soft Skills
160,What questions haven’t I asked you?,General,Soft Skills
161,What questions do you have for me?,General,Soft Skills
